bus0,bus1,voltage,s_nom,r,x,b,length,type
ES287-220,ES290-220,220,491.556,0.492429,2.470352,3.22e-05,8207.15,Al/St 240/40 2-bundle 220.0
ES278-220,ES274-220,220,491.556,1.09265,5.481463,7.15e-05,18210.84,Al/St 240/40 2-bundle 220.0
ES11-220,ES51-220,220,491.556,1.51036,7.576971,9.89e-05,25172.66,Al/St 240/40 2-bundle 220.0
way/1308518194-220,ES209-220,220,983.112,0.07133,0.357839,1.87e-05,2377.67,Al/St 240/40 2-bundle 220.0
ES382-220,way/1262722037-220,220,983.112,0.106542,0.534486,2.79e-05,3551.4,Al/St 240/40 2-bundle 220.0
way/144787749-220,way/1328740428-220,220,491.556,0.788945,3.957876,5.16e-05,13149.09,Al/St 240/40 2-bundle 220.0
way/143483666-400,way/135457230-400,400,3574.953,0.725795,5.951521,0.00041955,48386.35,Al/St 240/40 4-bundle 380.0
way/1266061515-220,ES138-220,220,491.556,0.49337,2.475075,3.23e-05,8222.84,Al/St 240/40 2-bundle 220.0
way/52516392-400,way/189577215-400,400,1787.476,1.162032,9.528665,0.00016793,38734.41,Al/St 240/40 4-bundle 380.0
ES107-220,ES110-220,220,491.556,0.391801,1.965533,2.56e-05,6530.01,Al/St 240/40 2-bundle 220.0
ES105-220,way/60354466-220,220,491.556,0.079738,0.40002,5.22e-06,1328.97,Al/St 240/40 2-bundle 220.0
ES151-220,way/144138410-220,220,983.112,0.090992,0.456477,2.38e-05,3033.07,Al/St 240/40 2-bundle 220.0
ES92-220,ES74-220,220,491.556,1.957217,9.818704,0.0001281,32620.28,Al/St 240/40 2-bundle 220.0
way/43842955-400,ES14-400,400,1787.476,4.432136,36.343514,0.0006405,147737.86,Al/St 240/40 4-bundle 380.0
way/144233436-220,way/143483666-220,220,491.556,1.049688,5.265935,6.87e-05,17494.8,Al/St 240/40 2-bundle 220.0
way/93387439-220,ES113-220,220,491.556,0.394018,1.976658,2.58e-05,6566.97,Al/St 240/40 2-bundle 220.0
way/144297424-220,way/143483652-220,220,491.556,0.8429,4.22855,5.52e-05,14048.34,Al/St 240/40 2-bundle 220.0
way/144306676-220,ES62-220,220,491.556,1.11946,5.615959,7.33e-05,18657.67,Al/St 240/40 2-bundle 220.0
way/144312477-220,ES48-220,220,491.556,3.650215,18.31191,0.00023891,60836.91,Al/St 240/40 2-bundle 220.0
way/144385735-220,relation/17294958-220,220,491.556,1.162527,5.83201,7.61e-05,19375.45,Al/St 240/40 2-bundle 220.0
way/1258994984-220,relation/17319555-220,220,983.112,0.217295,1.090097,5.69e-05,7243.17,Al/St 240/40 2-bundle 220.0
ES353-220,ES348-220,220,491.556,0.747394,3.749425,4.89e-05,12456.56,Al/St 240/40 2-bundle 220.0
way/144812118-220,ES349-220,220,491.556,0.200918,1.007938,1.32e-05,3348.63,Al/St 240/40 2-bundle 220.0
ES329-400,way/144909709-400,400,3574.953,0.440462,3.611786,0.00025461,29364.11,Al/St 240/40 4-bundle 380.0
ES329-400,way/171251565-400,400,3574.953,0.827936,6.789077,0.00047859,55195.75,Al/St 240/40 4-bundle 380.0
way/145171008-400,way/144933376-400,400,1787.476,1.535977,12.595011,0.00022197,51199.23,Al/St 240/40 4-bundle 380.0
way/126987023-400,way/144933376-400,400,1787.476,1.528299,12.532054,0.00022086,50943.31,Al/St 240/40 4-bundle 380.0
ES290-220,way/126987023-220,220,491.556,2.301035,11.543525,0.0001506,38350.58,Al/St 240/40 2-bundle 220.0
way/145302702-220,way/217979941-220,220,491.556,0.471544,2.365577,3.09e-05,7859.06,Al/St 240/40 2-bundle 220.0
way/1275359449-220,way/226363063-220,220,491.556,2.767408,13.883164,0.00018113,46123.47,Al/St 240/40 2-bundle 220.0
way/51188420-400,ES267-400,400,3574.953,0.719065,5.896336,0.00041566,47937.69,Al/St 240/40 4-bundle 380.0
ES313-220,way/991952490-220,220,491.556,2.534457,12.714526,0.00016588,42240.95,Al/St 240/40 2-bundle 220.0
way/258916144-220,way/145823172-220,220,983.112,0.358914,1.800553,9.4e-05,11963.81,Al/St 240/40 2-bundle 220.0
ES207-400,way/27668869-400,400,1787.476,0.073854,0.605605,1.07e-05,2461.81,Al/St 240/40 4-bundle 380.0
way/104370242-220,ES44-220,220,983.112,0.065216,0.327167,1.71e-05,2173.87,Al/St 240/40 2-bundle 220.0
way/1246090890-220,way/169703141-220,220,983.112,0.184959,0.927879,4.84e-05,6165.31,Al/St 240/40 2-bundle 220.0
way/169703140-220,ES176-220,220,491.556,1.481704,7.433216,9.7e-05,24695.07,Al/St 240/40 2-bundle 220.0
ES176-220,way/169867109-220,220,491.556,3.601361,18.06683,0.00023571,60022.69,Al/St 240/40 2-bundle 220.0
