from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
64,renewable,3,demand,0.0,,0.0,326.7621754731708,wof6,dem3,Potential connection: Renewable cluster 64 to Demand cluster 3,potential_renewable64-demand3,renewable64,demand3,potential,326.7621754731708,166.38810162130784,0.50920245398773,True,['ocean']
65,renewable,3,demand,0.0,,0.0,149.2857304332256,wof7,dem3,Potential connection: Renewable cluster 65 to Demand cluster 3,potential_renewable65-demand3,renewable65,demand3,potential,149.2857304332256,10.08687367792065,0.06756756756756757,False,['ocean']
66,renewable,3,demand,0.0,,0.0,92.12790841470317,wof8,dem3,Potential connection: Renewable cluster 66 to Demand cluster 3,potential_renewable66-demand3,renewable66,demand3,potential,92.12790841470317,0.0,0.0,False,[]
67,renewable,4,demand,0.0,,0.0,166.97011439907442,wof9,dem4,Potential connection: Renewable cluster 67 to Demand cluster 4,potential_renewable67-demand4,renewable67,demand4,potential,166.97011439907442,44.257138756381174,0.26506024096385544,True,['ocean']
68,renewable,4,demand,0.0,,0.0,179.65359600112993,wof10,dem4,Potential connection: Renewable cluster 68 to Demand cluster 4,potential_renewable68-demand4,renewable68,demand4,potential,179.65359600112993,10.092898651748872,0.056179775280898875,False,['ocean']
69,renewable,0,generation,0.0,,0.0,219.26607338100524,wof11,gen0,Potential connection: Renewable cluster 69 to Generation cluster 0,potential_renewable69-generation0,renewable69,generation0,potential,219.26607338100524,116.67369042292023,0.5321100917431193,True,['ocean']
70,renewable,2,demand,0.0,,0.0,221.38078644277013,wof12,dem2,Potential connection: Renewable cluster 70 to Demand cluster 2,potential_renewable70-demand2,renewable70,demand2,potential,221.38078644277013,124.77826144956134,0.5636363636363636,True,['ocean']
71,renewable,2,demand,0.0,,0.0,210.5996648646159,wof13,dem2,Potential connection: Renewable cluster 71 to Demand cluster 2,potential_renewable71-demand2,renewable71,demand2,potential,210.5996648646159,84.23986594584636,0.4,True,['ocean']
73,renewable,2,demand,0.0,,0.0,317.1840463309829,wof15,dem2,Potential connection: Renewable cluster 73 to Demand cluster 2,potential_renewable73-demand2,renewable73,demand2,potential,317.1840463309829,74.27727667244535,0.23417721518987342,True,['ocean']
74,renewable,2,demand,0.0,,0.0,302.6744679068411,wof16,dem2,Potential connection: Renewable cluster 74 to Demand cluster 2,potential_renewable74-demand2,renewable74,demand2,potential,302.6744679068411,170.37966736477807,0.5629139072847682,True,['ocean']
75,renewable,2,demand,0.0,,0.0,422.3467562060157,wof17,dem2,Potential connection: Renewable cluster 75 to Demand cluster 2,potential_renewable75-demand2,renewable75,demand2,potential,422.3467562060157,178.1462620963763,0.4218009478672986,True,['ocean']
9,renewable,2,demand,0.0,,0.0,91.3292324219543,sol9,dem2,Potential connection: Renewable cluster 9 to Demand cluster 2,potential_renewable9-demand2,renewable9,demand2,potential,91.3292324219543,0.0,0.0,False,[]
