GEM location ID,bus_id,bus_name
L100001023924,way/172362099-275,Para
L100001080290,way/172587651-275,Brisbane
L100001080352,way/172362099-275,Para
L100001080331,AU51-220,Kalgoorlie
L100000809153,way/196583889-275,Chalumbin
L100001023845,way/925410265-330,SydneyWest
L100001045266,way/160201298-330,Armidale
L100000805501,way/160201298-330,Armidale
L100001045343,way/87853100-330,Australind
L100000827564,way/169408193-330,MountPiper
L100001023983,AU73-330,CentralCoast
L100001023920,way/570175005-220,Rowville
L100000805445,way/169408193-330,MountPiper
L100000805489,way/160201298-330,Armidale
L100001023685,way/169416665-220,DarlingtonPoint
L100001023699,way/169408193-330,MountPiper
L100001023728,way/655511604-330,Canberra
L100001023731,way/169794711-220,Balranald
L100001023734,way/172887193-330,BulliCreek
L100001023736,way/160201298-330,Armidale
L100001080337,way/89180086-220,Ballarat
L100001045125,way/583492111-220,Karratha
L100001023940,way/570175005-220,Rowville
L100000827566,way/196583889-275,Chalumbin
L100001045271,way/119995150-275,Calvale
L100000827490,way/171744075-275,Strathmore
L100000827567,AU57-330,Perth
L100000805487,AU51-220,Kalgoorlie
L100001020243,way/174441055-220,Palmerston
L100001023805,AU51-220,Kalgoorlie
L100001023898,way/925410265-330,SydneyWest
L100000805452,way/64943050-500,SouthMorang
L100000805459,way/169408193-330,MountPiper
L100000805518,way/170709510-275,Tarong
L100001023866,way/925410265-330,SydneyWest
L100001055916,way/583492111-220,Karratha
L100000809154,way/160201298-330,Armidale
L100001023935,way/172362099-275,Para
L100001023982,way/583513574-330,Morawa
L100001080304,way/950049612-330,Yandin
L100000805455,way/169408193-330,MountPiper
L100001023861,way/64943050-500,SouthMorang
L100000827568,way/172887193-330,BulliCreek
L100001023930,AU57-330,Perth
L100001048569,way/169408193-330,MountPiper
L100000827569,way/164764363-275,Davenport
L100000809156,AU3-220,PortHedland
L100001020122,way/583506664-220,AUS22p9S118p7E
L100001023789,way/64943050-500,SouthMorang
L100001023806,way/164764363-275,Davenport
L100000827491,way/550221344-275,WandoanSouth
L100001023901,way/64943050-500,SouthMorang
L100001023718,way/164764363-275,Davenport
L100000805594,way/164764363-275,Davenport
L100000809157,AU3-220,PortHedland
L100001020129,way/169794711-220,Balranald
L100001080338,way/64943050-500,SouthMorang
L100000805472,way/169794711-220,Balranald
L100001023833,way/172587651-275,Brisbane
L100000827571,AU73-330,CentralCoast
L100001023932,way/169416665-220,DarlingtonPoint
L100000827492,way/172887193-330,BulliCreek
L100001023988,way/925410265-330,SydneyWest
L100001080358,way/172587651-275,Brisbane
L100001023851,way/64943050-500,SouthMorang
L100001023836,way/925410265-330,SydneyWest
L100001020381,way/121646942-275,Broadsound
L100000809158,way/169408193-330,MountPiper
L100001023827,way/196583889-275,Chalumbin
L100001023838,way/172231145-330,Wagga
L100000805537,way/432510474-275,CalliopeRiver
L100001023799,way/89180086-220,Ballarat
L100000805502,way/169794711-220,Balranald
L100001080333,way/172587651-275,Brisbane
L100001080353,way/312550977-500,Tarrone
L100001023801,way/160201298-330,Armidale
L100001023800,way/64943050-500,SouthMorang
L100001080332,way/160201298-330,Armidale
L100001023802,way/169794711-220,Balranald
L100001080325,way/172231145-330,Wagga
L100001080311,way/164764363-275,Davenport
L100001080329,way/172362099-275,Para
L100001023852,way/164775125-275,Robertstown
L100001023966,way/164775125-275,Robertstown
L100001080359,way/169794711-220,Balranald
L100001023819,way/164775125-275,Robertstown
L100001080302,AU57-330,Perth
L100001023712,way/169794711-220,Balranald
L100001080319,way/172587651-275,Brisbane
L100001023987,way/172587651-275,Brisbane
L100001080320,way/172587651-275,Brisbane
L100000805552,way/172587651-275,Brisbane
L100001023912,way/164775125-275,Robertstown
L100001023767,way/196583889-275,Chalumbin
L100000805511,way/164775125-275,Robertstown
L100000827572,way/169794711-220,Balranald
L100001045345,way/169408193-330,MountPiper
L100001045308,way/169794711-220,Balranald
L100000827493,way/208359871-330,UpperTumut
L100001023933,way/172362099-275,Para
L100000805453,way/171744075-275,Strathmore
L100001023856,way/172362099-275,Para
L100001045683,way/570175005-220,Rowville
L100000805535,way/655511604-330,Canberra
L100000805507,way/166113109-275,Nebo
L100001080361,way/172587651-275,Brisbane
L100001023850,way/172362099-275,Para
L100001023753,way/164764363-275,Davenport
L100001023995,AU73-330,CentralCoast
L100001020130,way/160201298-330,Armidale
L100000805563,way/172231145-330,Wagga
L100001020224,way/169408193-330,MountPiper
L100000805450,way/160201298-330,Armidale
L100001019630,way/119995150-275,Calvale
L100001023954,AU57-330,Perth
L100001023858,way/172587651-275,Brisbane
L100001023818,AU73-330,CentralCoast
L100000805575,way/172231145-330,Wagga
L100001023931,AU57-330,Perth
L100001020221,way/480009927-500,Hazelwood
L100001080375,way/925410265-330,SydneyWest
L100001080356,way/925410265-330,SydneyWest
L100000805456,way/160201298-330,Armidale
L100001020234,way/172887193-330,BulliCreek
L100000805538,way/119995150-275,Calvale
L100000805584,way/164775125-275,Robertstown
L100000827573,way/172587651-275,Brisbane
L100001023909,way/64943050-500,SouthMorang
L100001023709,way/164775125-275,Robertstown
L100001023710,way/164764363-275,Davenport
L100001023724,way/164775125-275,Robertstown
L100001023725,way/164764363-275,Davenport
L100001023743,way/164764363-275,Davenport
L100001023809,way/164775125-275,Robertstown
L100001023810,way/164775125-275,Robertstown
L100000827574,way/169408193-330,MountPiper
L100001023860,way/172362099-275,Para
L100000805631,way/570175005-220,Rowville
L100001045297,AU51-220,Kalgoorlie
L100001023785,way/64943050-500,SouthMorang
L100001023754,way/89180086-220,Ballarat
L100001023777,way/64943050-500,SouthMorang
L100001023786,way/64943050-500,SouthMorang
L100001023781,way/64943050-500,SouthMorang
L100001023779,way/64943050-500,SouthMorang
L100001080303,way/171486427-275,Bouldercombe
L100001020237,AU73-330,CentralCoast
L100000805673,way/169408193-330,MountPiper
L100000827575,AU73-330,CentralCoast
L100001045287,way/172587651-275,Brisbane
L100000805656,way/171744075-275,Strathmore
L100001080346,way/172587651-275,Brisbane
L100000805451,way/169794711-220,Balranald
L100001023835,way/950049612-330,Yandin
L100001023758,way/172587651-275,Brisbane
L100001023755,way/171744075-275,Strathmore
L100000805657,way/170709510-275,Tarong
L100001023961,way/64943050-500,SouthMorang
L100000805562,way/171744075-275,Strathmore
L100000805529,way/169408193-330,MountPiper
L100000805446,way/171728751-275,GinGin
L100001023922,way/169794711-220,Balranald
L100000827576,way/169794711-220,Balranald
L100001023803,way/172362099-275,Para
L100001023840,way/172362099-275,Para
L100001023862,way/925410265-330,SydneyWest
L100001023863,way/925410265-330,SydneyWest
L100001080300,way/925410265-330,SydneyWest
L100001023956,way/570175005-220,Rowville
L100001023944,way/172587651-275,Brisbane
L100000805490,way/172362099-275,Para
L100001019869,way/169408193-330,MountPiper
L100000805623,way/160201298-330,Armidale
L100000827578,way/925410265-330,SydneyWest
L100001023727,way/570175005-220,Rowville
L100001023739,way/312550977-500,Tarrone
L100001023783,way/64943050-500,SouthMorang
L100001080334,way/570175005-220,Rowville
L100001023952,way/223939702-220,Merredin
L100001023865,way/160201298-330,Armidale
L100001023681,way/164775125-275,Robertstown
L100001080310,way/172362099-275,Para
L100001023666,way/185835127-275,OlympicDamWest
L100001023686,way/172362099-275,Para
L100001019896,way/169416665-220,DarlingtonPoint
L100001023687,way/172362099-275,Para
L100001023711,way/172362099-275,Para
L100001080305,way/925410265-330,SydneyWest
L100000809162,way/196583889-275,Chalumbin
L100001023756,way/171744075-275,Strathmore
L100000827579,AU73-330,CentralCoast
L100001023938,way/89180086-220,Ballarat
L100001080284,way/89180086-220,Ballarat
L100001080283,way/89180086-220,Ballarat
L100001023972,way/172362099-275,Para
L100000827494,AU51-220,Kalgoorlie
L100001023928,way/89180086-220,Ballarat
L100000827580,way/169408193-330,MountPiper
L100001023807,way/583513574-330,Morawa
L100000827581,way/64943050-500,SouthMorang
L100001048598,AU3-220,PortHedland
L100001023892,way/172362099-275,Para
L100001023669,way/160201298-330,Armidale
L100001080363,way/160201298-330,Armidale
L100001023891,way/170709510-275,Tarong
L100000827583,way/172587651-275,Brisbane
L100001023854,way/172587651-275,Brisbane
L100001019865,way/432510474-275,CalliopeRiver
L100001023757,way/169408193-330,MountPiper
L100001045652,way/196583889-275,Chalumbin
L100000827584,way/196583889-275,Chalumbin
L100000827495,AU73-330,CentralCoast
L100001023953,way/570175005-220,Rowville
L100001023672,way/196583889-275,Chalumbin
L100001023668,way/169794711-220,Balranald
L100001023671,way/169794711-220,Balranald
L100001023713,way/64943050-500,SouthMorang
L100001023700,way/64943050-500,SouthMorang
L100001023701,way/64943050-500,SouthMorang
L100001023702,way/64943050-500,SouthMorang
L100001023714,way/64943050-500,SouthMorang
L100001023732,way/89180086-220,Ballarat
L100001023740,way/64943050-500,SouthMorang
L100001023741,way/64943050-500,SouthMorang
L100001023975,way/172362099-275,Para
L100001023872,way/172362099-275,Para
L100001023853,way/655511604-330,Canberra
L100000805482,way/950049612-330,Yandin
L100000805620,way/172231145-330,Wagga
L100001080285,way/169408193-330,MountPiper
L100000805578,way/172231145-330,Wagga
L100001045181,way/655511604-330,Canberra
L100000805676,way/550221344-275,WandoanSouth
L100000805544,way/64943050-500,SouthMorang
L100000805457,way/550221344-275,WandoanSouth
L100001023849,way/164764363-275,Davenport
L100001019883,way/87853100-330,Australind
L100000805488,way/172887193-330,BulliCreek
L100000827496,way/925410265-330,SydneyWest
L100001048561,way/174441055-220,Palmerston
L100000827585,way/196583889-275,Chalumbin
L100001080376,way/196583889-275,Chalumbin
L100000805606,way/169408193-330,MountPiper
L100000805608,way/169408193-330,MountPiper
L100000805492,way/169794711-220,Balranald
L100001019648,way/64943050-500,SouthMorang
L100000805466,way/169416665-220,DarlingtonPoint
L100001023682,AU57-330,Perth
L100001023690,way/583492111-220,Karratha
L100001023692,way/583506664-220,AUS22p9S118p7E
L100001023697,way/583513574-330,Morawa
L100001023703,way/223939702-220,Merredin
L100001023721,way/950049612-330,Yandin
L100001023723,AU51-220,Kalgoorlie
L100001023738,way/583513574-330,Morawa
L100000805622,way/172887193-330,BulliCreek
L100001000544,AU51-220,Kalgoorlie
L100001023839,way/570175005-220,Rowville
L100001023887,way/570175005-220,Rowville
L100001023914,AU73-330,CentralCoast
L100001023963,way/925410265-330,SydneyWest
L100001023904,way/172362099-275,Para
L100001080291,AU73-330,CentralCoast
L100001020399,way/583513574-330,Morawa
L100000805585,way/160201298-330,Armidale
L100001045267,way/160201298-330,Armidale
L100001023869,way/88191017-220,Sheffield
L100000805680,way/171744075-275,Strathmore
L100000827586,way/655511604-330,Canberra
L100001023900,way/171744075-275,Strathmore
L100001023771,way/570175005-220,Rowville
L100000805577,way/64943050-500,SouthMorang
L100001023830,way/172231145-330,Wagga
L100001080349,way/172231145-330,Wagga
L100000805493,way/169408193-330,MountPiper
L100001048629,way/432510474-275,CalliopeRiver
L100000809165,way/583492111-220,Karratha
L100000805607,way/170709510-275,Tarong
L100001080317,way/925410265-330,SydneyWest
L100001023884,way/172587651-275,Brisbane
L100001023878,way/925410265-330,SydneyWest
L100001080307,way/925410265-330,SydneyWest
L100001023946,way/171744075-275,Strathmore
L100001023897,AU73-330,CentralCoast
L100001080308,way/172587651-275,Brisbane
L100001055924,way/172587651-275,Brisbane
L100001023974,way/570175005-220,Rowville
L100000805685,way/64943050-500,SouthMorang
L100001023782,way/64943050-500,SouthMorang
L100001023949,way/196583889-275,Chalumbin
L100000805564,way/169416665-220,DarlingtonPoint
L100000805504,way/171744075-275,Strathmore
L100001080286,way/171744075-275,Strathmore
L100001023808,way/164764363-275,Davenport
L100001020244,way/164764363-275,Davenport
L100000827587,way/164775125-275,Robertstown
L100001023941,way/172362099-275,Para
L100001023916,way/172587651-275,Brisbane
L100001045340,way/169416665-220,DarlingtonPoint
L100000809166,way/169408193-330,MountPiper
L100000805476,way/172887193-330,BulliCreek
L100000805440,way/169794711-220,Balranald
L100000827498,way/337655870-220,TomPriceMine
L100001023842,way/164764363-275,Davenport
L100000805512,way/164764363-275,Davenport
L100000809167,way/583492111-220,Karratha
L100001019870,way/583492111-220,Karratha
L100001023989,way/172362099-275,Para
L100001080372,way/169794711-220,Balranald
L100001045301,way/169794711-220,Balranald
