bus0,bus1,voltage,s_nom,length,type
BR714-440,BR716-440,440.0,1966.2240767521896,1439.6,Al/St 240/40 4-bundle 380.0
BR714-440,BR716-440,440.0,1966.2240767521896,1439.92,Al/St 240/40 4-bundle 380.0
BR716-440,BR717-440,440.0,1966.2240767521896,9159.94,Al/St 240/40 4-bundle 380.0
BR717-440,BR708-440,440.0,3932.448153504379,11591.98,Al/St 240/40 4-bundle 380.0
BR685-500,BR755-500,500.0,2234.345541763852,136724.14,Al/St 240/40 4-bundle 380.0
BR713-500,BR755-500,500.0,2234.345541763852,64440.51,Al/St 240/40 4-bundle 380.0
way/174852067-500,BR642-500,500.0,2234.345541763852,183895.08,Al/St 240/40 4-bundle 380.0
BR642-500,BR656-500,500.0,2234.345541763852,192127.12,Al/St 240/40 4-bundle 380.0
BR656-500,BR669-500,500.0,2234.345541763852,74246.81,Al/St 240/40 4-bundle 380.0
BR592-500,BR580-500,500.0,2234.345541763852,268018.23,Al/St 240/40 4-bundle 380.0
BR592-500,BR580-500,500.0,2234.345541763852,267926.87,Al/St 240/40 4-bundle 380.0
BR294-500,BR254-500,500.0,2234.345541763852,256847.15,Al/St 240/40 4-bundle 380.0
BR550-500,BR525-500,500.0,2234.345541763852,101946.01,Al/St 240/40 4-bundle 380.0
BR525-500,BR550-500,500.0,2234.345541763852,102108.27,Al/St 240/40 4-bundle 380.0
BR550-500,BR602-500,500.0,2234.345541763852,167385.95,Al/St 240/40 4-bundle 380.0
BR550-500,BR592-500,500.0,2234.345541763852,116953.97,Al/St 240/40 4-bundle 380.0
relation/6844204-500,BR550-500,500.0,2234.345541763852,238695.71,Al/St 240/40 4-bundle 380.0
BR556-500,BR550-500,500.0,2234.345541763852,237076.76,Al/St 240/40 4-bundle 380.0
BR556-500,BR525-500,500.0,2234.345541763852,324239.93,Al/St 240/40 4-bundle 380.0
BR556-500,BR580-500,500.0,2234.345541763852,123005.52,Al/St 240/40 4-bundle 380.0
BR556-500,BR580-500,500.0,2234.345541763852,122936.92,Al/St 240/40 4-bundle 380.0
BR583-500,BR580-500,500.0,2234.345541763852,158482.58,Al/St 240/40 4-bundle 380.0
BR596-500,BR580-500,500.0,2234.345541763852,80091.14,Al/St 240/40 4-bundle 380.0
BR580-500,BR583-500,500.0,2234.345541763852,158463.03,Al/St 240/40 4-bundle 380.0
BR596-500,BR610-500,500.0,2234.345541763852,154194.63,Al/St 240/40 4-bundle 380.0
BR583-500,BR571-500,500.0,2234.345541763852,94363.14,Al/St 240/40 4-bundle 380.0
