bus0,bus1,voltage,s_nom,length,type
way/359449581-220,way/341099346-220,220.0,491.5560191880474,36998.97,Al/St 240/40 2-bundle 220.0
way/1363994055-220,way/907631032-220,220.0,491.5560191880474,15687.15,Al/St 240/40 2-bundle 220.0
way/161270797-220,way/1363994055-220,220.0,491.5560191880474,21363.56,Al/St 240/40 2-bundle 220.0
way/907631032-220,way/359449581-220,220.0,491.5560191880474,20527.85,Al/St 240/40 2-bundle 220.0
way/341099346-220,way/156094589-220,220.0,491.5560191880474,12868.94,Al/St 240/40 2-bundle 220.0
way/849110529-220,way/1018655038-220,220.0,491.5560191880474,7406.47,Al/St 240/40 2-bundle 220.0
way/849110529-220,way/1018655038-220,220.0,491.5560191880474,7406.46,Al/St 240/40 2-bundle 220.0
way/359449581-220,way/75609279-220,220.0,983.1120383760948,37402.71,Al/St 240/40 2-bundle 220.0
way/75609279-220,way/61455399-220,220.0,983.1120383760948,15710.99,Al/St 240/40 2-bundle 220.0
way/1018655038-220,way/87837416-220,220.0,491.5560191880474,282635.45,Al/St 240/40 2-bundle 220.0
way/1018655038-220,way/87837416-220,220.0,491.5560191880474,286622.95,Al/St 240/40 2-bundle 220.0
relation/17609399-220,way/95344674-220,220.0,491.5560191880474,285585.84,Al/St 240/40 2-bundle 220.0
way/26671244-220,NZ1-220,220.0,983.1120383760948,90783.69,Al/St 240/40 2-bundle 220.0
