bus0,bus1,voltage,s_nom,r,x,b,length,type
way/24462426-380,DE70-380,380,3396.205,0.086977,0.713209,5.03e-05,5798.45,Al/St 240/40 4-bundle 380.0
DE76-380,way/59925390-380,380,3396.205,0.125878,1.032204,7.28e-05,8391.9,Al/St 240/40 4-bundle 380.0
way/266684854-380,way/829116805-380,380,3396.205,0.137585,1.1282,7.95e-05,9172.36,Al/St 240/40 4-bundle 380.0
DE188-380,way/25786404-380,380,3396.205,0.157566,1.292039,9.11e-05,10504.38,Al/St 240/40 4-bundle 380.0
way/23380800-380,way/24479984-380,380,1698.103,0.413161,3.387922,5.97e-05,13772.04,Al/St 240/40 4-bundle 380.0
way/24839976-380,way/22761839-380,380,3396.205,0.332513,2.726607,0.00019221,22167.54,Al/St 240/40 4-bundle 380.0
way/24839976-220,way/188276460-220,220,983.112,0.083312,0.417951,2.18e-05,2777.08,Al/St 240/40 2-bundle 220.0
way/24839976-220,DE131-220,220,983.112,0.113004,0.566903,2.96e-05,3766.8,Al/St 240/40 2-bundle 220.0
way/152261133-380,way/259561755-380,380,1698.103,0.971785,7.968636,0.00014044,32392.83,Al/St 240/40 4-bundle 380.0
way/152261133-220,way/152924498-220,220,491.556,3.120314,15.653577,0.00020422,52005.24,Al/St 240/40 2-bundle 220.0
way/42861703-220,way/42507488-220,220,491.556,1.670519,8.380436,0.00010934,27841.98,Al/St 240/40 2-bundle 220.0
DE87-380,way/113546939-380,380,3396.205,0.124573,1.021498,7.2e-05,8304.86,Al/St 240/40 4-bundle 380.0
DE87-220,way/113546939-220,220,983.112,0.248606,1.247172,6.51e-05,8286.86,Al/St 240/40 2-bundle 220.0
DE80-380,way/29077623-380,380,3396.205,0.273696,2.244305,0.00015821,18246.38,Al/St 240/40 4-bundle 380.0
way/22944791-220,DE78-220,220,983.112,0.161576,0.81057,4.23e-05,5385.85,Al/St 240/40 2-bundle 220.0
way/1303270458-380,way/23022100-380,380,3396.205,0.052858,0.433437,3.06e-05,3523.88,Al/St 240/40 4-bundle 380.0
DE89-220,way/113546939-220,220,983.112,0.111993,0.56183,2.93e-05,3733.09,Al/St 240/40 2-bundle 220.0
way/266684854-380,way/1072574879-380,380,3396.205,0.87787,7.198531,0.00050746,58524.64,Al/St 240/40 4-bundle 380.0
way/23084417-220,DE62-220,220,983.112,0.696854,3.495882,0.00018244,23228.45,Al/St 240/40 2-bundle 220.0
way/23022100-380,DE66-380,380,1698.103,0.430376,3.529084,6.22e-05,14345.87,Al/St 240/40 4-bundle 380.0
way/23022100-220,DE66-220,220,491.556,0.85957,4.312177,5.63e-05,14326.17,Al/St 240/40 2-bundle 220.0
way/1094015892-220,way/517421342-220,220,491.556,3.11833,15.64362,0.00020409,51972.16,Al/St 240/40 2-bundle 220.0
way/59707532-220,DE18-220,220,491.556,0.126635,0.635288,8.29e-06,2110.59,Al/St 240/40 2-bundle 220.0
DE98-220,way/68549340-220,220,491.556,0.408152,2.047562,2.67e-05,6802.53,Al/St 240/40 2-bundle 220.0
way/37721677-380,way/26260052-380,380,3396.205,0.113169,0.927989,6.54e-05,7544.63,Al/St 240/40 4-bundle 380.0
way/26260052-380,way/26403575-380,380,3396.205,0.193467,1.586426,0.00011183,12897.77,Al/St 240/40 4-bundle 380.0
way/870598507-380,way/1024536785-380,380,3396.205,1.256863,10.306277,0.00072653,83790.87,Al/St 240/40 4-bundle 380.0
way/24799890-220,way/1040551074-220,220,983.112,0.265808,1.333471,6.96e-05,8860.27,Al/St 240/40 2-bundle 220.0
DE122-220,way/22761839-220,220,983.112,0.328645,1.648703,8.6e-05,10954.84,Al/St 240/40 2-bundle 220.0
DE118-220,DE122-220,220,983.112,0.2276,1.141794,5.96e-05,7586.67,Al/St 240/40 2-bundle 220.0
way/683227471-380,way/85523877-380,380,1698.103,1.414011,11.59489,0.00020434,47133.7,Al/St 240/40 4-bundle 380.0
way/57727004-220,way/85523877-220,220,491.556,4.395825,22.052389,0.00028771,73263.75,Al/St 240/40 2-bundle 220.0
DE183-220,way/409305507-220,220,983.112,1.025636,5.145276,0.00026851,34187.88,Al/St 240/40 2-bundle 220.0
way/26455019-220,way/29420322-220,220,983.112,0.07439,0.373189,1.95e-05,2479.66,Al/St 240/40 2-bundle 220.0
way/23284340-380,DE165-380,380,3396.205,0.146814,1.203877,8.49e-05,9787.62,Al/St 240/40 4-bundle 380.0
DE15-220,way/829116805-220,220,983.112,1.149736,5.767845,0.000301,38324.55,Al/St 240/40 2-bundle 220.0
way/24799890-380,way/27919734-380,380,3396.205,0.299219,2.453598,0.00017296,19947.95,Al/St 240/40 4-bundle 380.0
way/24799890-220,way/27919734-220,220,983.112,0.598248,3.001209,0.00015662,19941.59,Al/St 240/40 2-bundle 220.0
way/48057110-380,DE182-380,380,3396.205,0.243731,1.998591,0.00014089,16248.71,Al/St 240/40 4-bundle 380.0
way/22944791-220,way/23022100-220,220,1966.224,0.050678,0.254237,5.31e-05,3378.56,Al/St 240/40 2-bundle 220.0
DE109-220,way/51940126-220,220,983.112,0.36069,1.809463,9.44e-05,12023.01,Al/St 240/40 2-bundle 220.0
DE109-220,way/132814303-220,220,983.112,1.573351,7.892979,0.0004119,52445.04,Al/St 240/40 2-bundle 220.0
DE75-380,DE69-380,380,3396.205,0.072991,0.598528,4.22e-05,4866.08,Al/St 240/40 4-bundle 380.0
way/1076001174-380,way/32472806-380,380,3396.205,0.221665,1.817651,0.00012813,14777.65,Al/St 240/40 4-bundle 380.0
way/28452784-220,way/66038431-220,220,983.112,0.380595,1.909317,9.96e-05,12686.49,Al/St 240/40 2-bundle 220.0
way/1128250707-220,way/31024391-220,220,983.112,0.879408,4.411697,0.00023023,29313.6,Al/St 240/40 2-bundle 220.0
way/152261133-220,way/32151621-220,220,983.112,0.603779,3.02896,0.00015807,20125.98,Al/St 240/40 2-bundle 220.0
DE193-380,DE195-380,380,3396.205,0.08761,0.718405,5.06e-05,5840.69,Al/St 240/40 4-bundle 380.0
