bus_id,voltage,dc,symbol,under_construction,tags,x,y,country
DE84-220,220,f,Substation,f,DE84,7.075377100000002,51.51772059452431,DE
DE85-380,380,f,Substation,f,DE85,7.737813771186357,51.51691364209624,DE
DE86-220,220,f,Substation,f,DE86,7.070513300000003,51.50830329452015,DE
DE87-220,220,f,Substation,f,DE87,7.147695502069386,51.50461117941968,DE
DE87-380,380,f,Substation,f,DE87,7.14798891069284,51.50480912267015,DE
DE88-380,380,f,Substation,f,DE88,7.700337700000002,51.49948239451621,DE
DE89-220,220,f,Substation,f,DE89,7.10416325241841,51.47847583973024,DE
DE89-380,380,f,Substation,f,DE89,7.1044563088784365,51.47867389177694,DE
DE9-380,380,f,Substation,f,DE9,12.613200122794142,53.58818421527744,DE
DE91-380,380,f,Substation,f,DE91,7.543041199999996,51.45318809449565,DE
DE92-220,220,f,Substation,f,DE92,6.8730102,51.44665699449267,DE
DE93-220,220,f,Substation,f,DE93,6.58358657533625,51.43798752408066,DE
